sequence,wm_chap,term,also_see,defined_by_fname,defined_by_lname,citation_URL,defintion,,,,,,,,,,,,,,,,,,,
297,8,Digital Certificates,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Public-key container files that allow PKI system components and end users to validate a public key and identify its owner.,,,,,,,,,,,,,,,,,,,
298,8,Digital Signature Standard (DSS),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The NIST standard for digital signature algorithm usage by federal information systems. DSS is based on a variant of the ElGamal signature scheme.,,,,,,,,,,,,,,,,,,,
299,8,Digital Signatures,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Encrypted message components that can be mathematically proven as authentic.,,,,,,,,,,,,,,,,,,,
300,8,Encapsulating Security Payload (ESP) protocol,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In IPsec, a protocol that provides secrecy for the contents of network communications as well as system-to-system authentication and data integrity verification.",,,,,,,,,,,,,,,,,,,
301,8,Exclusive OR operation (XOR),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A function within Boolean algebra used as an encryption function in which two bits are compared. If the two bits are identical, the result is a binary 0; otherwise, the result is a binary 1.",,,,,,,,,,,,,,,,,,,
302,8,Federation,,Patrick,Slattery,https://www.securew2.com/blog/public-key-infrastructure-explained/,Is accepting a certificate from another certificate authority without checking it.,,,,,,,,,,,,,,,,,,,
303,8,Hash algorithms,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Public functions that create a hash value, also known as a message digest, by converting variable-length messages into a single fixed-length value",,,,,,,,,,,,,,,,,,,
304,8,Hash functions,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Mathematical algorithms that generate a message summary or digest (sometimes called a fingerprint) to confirm message identity and integrity.,,,,,,,,,,,,,,,,,,,
305,8,Hash value,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See message digest.,,,,,,,,,,,,,,,,,,,
306,8,Internet Protocol Security (IPSec),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The primary and now dominant cryptographic authentication and encryption product of the IETF’s IP Protocol Security Working Group. A framework for security development within the TCP/IP family of protocol standards, IPSec provides application support for all uses within TCP/IP, including virtual private networks.",,,,,,,,,,,,,,,,,,,
307,8,Message authentication code (MAC),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A key-dependent, one-way hash function that allows only specific recipients (symmetric key holders) to access the message digest",,,,,,,,,,,,,,,,,,,
308,8,Message digest,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A value representing the application of a hash algorithm on a message that is transmitted with the message so it can be compared with the recipient’s locally calculated hash of the same message. If both hashes are identical after transmission, the message has arrived without modification. Also known as a hash value.",,,,,,,,,,,,,,,,,,,
309,8,Monoalphabetic substitution,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A substitution cipher that only incorporates a single alphabet in the encryption process.,,,,,,,,,,,,,,,,,,,
310,8,Nonrepudiation,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The process of reversing public-key encryption to verify that a message was sent by the sender and thus cannot be refuted.,,,,,,,,,,,,,,,,,,,
311,8,Permutation cipher,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See transposition cipher.,,,,,,,,,,,,,,,,,,,
312,8,Polyalphabetic substitutions,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A substitution cipher that incorporates two or more alphabets in the encryption process.,,,,,,,,,,,,,,,,,,,
313,8,Privacy Enhanced Mail (PEM),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A standard proposed by the Internet Engineering Task Force (IETF) that uses 3DES symmetric key encryption and RSA for key exchanges and digital signatures.,,,,,,,,,,,,,,,,,,,
314,8,Private-key encryption,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See symmetric encryption.,,,,,,,,,,,,,,,,,,,
315,8,Public Key Infrastructure (PKI),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","An integrated system of software, encryption methodologies, protocols, legal agreements, and third-party services that enables users to communicate securely through the use of digital certificates.",,,,,,,,,,,,,,,,,,,
316,8,Public-key encryption,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See asymmetric encryption.,,,,,,,,,,,,,,,,,,,
317,8,RADIUS Server,,Patrick,Slattery,https://www.securew2.com/blog/public-key-infrastructure-explained/,"Or Remote Authentication Dial-In User Service (RADIUS) is a networking protocol, operating on ports 1812 and 1813, that provides centralized authentication, authorization, and accounting (AAA) management for users who connect and use a network service.",,,,,,,,,,,,,,,,,,,
318,8,Registration Authority (RA),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In PKI, a third party that operates under the trusted collaboration of the certificate authority and handles day-to-day certification functions.",,,,,,,,,,,,,,,,,,,
319,8,Secret key,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A key that can be used in symmetric encryption both to encipher and decipher the message.,,,,,,,,,,,,,,,,,,,
320,8,Secure Electronic Transactions (SET),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A protocol developed by credit card companies to protect against electronic payment fraud.,,,,,,,,,,,,,,,,,,,
321,8,Secure Hash Standard (SHS),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A standard issued by the National Institute of Standards and Technology (NIST) that specifies secure algorithms, such as SHA-1, for computing a condensed representation of a message or data file.",,,,,,,,,,,,,,,,,,,
322,8,Secure HTTP (S-HTTP),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An extended version of Hypertext Transfer Protocol that provides for the encryption of protected Web pages transmitted via the Internet between a client and server,,,,,,,,,,,,,,,,,,,
323,8,Secure Multipurpose Internet Mail Extensions (S/MIME),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A security protocol that builds on the encoding format of the Multipurpose Internet Mail Extensions (MIME) protocol and uses digital signatures based on public-key cryptosystems to secure e-mail.,,,,,,,,,,,,,,,,,,,
324,8,Secure Sockets Layer (SSL),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A security protocol developed by Netscape to use public-key encryption to secure a channel over the Internet.,,,,,,,,,,,,,,,,,,,
325,8,Session keys,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Limited-use symmetric keys for temporary communications during an online session.,,,,,,,,,,,,,,,,,,,
326,8,Steganography,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The process of hiding messages; for example, hiding a message within the digital encoding of a picture or graphic so that it is almost impossible to detect that the hidden message even exists.",,,,,,,,,,,,,,,,,,,
327,8,Substitution cipher,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An encryption method in which one value is substituted for another.,,,,,,,,,,,,,,,,,,,
328,8,Symmetric encryption,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A cryptographic method in which the same algorithm and secret key are used both to encipher and decipher the message.,,,,,,,,,,,,,,,,,,,
329,8,Transport mode,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In IPSec, an encryption method in which only a packet’s IP data is encrypted, not the IP headers themselves; this method allows intermediate nodes to read the source and destination addresses.",,,,,,,,,,,,,,,,,,,
330,8,Transposition cipher,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A cryptographic operation that involves simply rearranging the values within a block based on an established pattern. Also known as a permutation cipher.,,,,,,,,,,,,,,,,,,,
331,8,Trust Anchors,,Patrick,Slattery,https://www.securew2.com/blog/public-key-infrastructure-explained/,"Are root certificates in a trust store -- they sign the identity of the device and ""innoculate"" the device with trusted certificate authorities.",,,,,,,,,,,,,,,,,,,
332,8,Trust Store,,Patrick,Slattery,https://www.securew2.com/blog/public-key-infrastructure-explained/,Is a list of root certificates (sometimes called trust anchors) that comes pre-installed on a device.,,,,,,,,,,,,,,,,,,,
333,8,Tunnel mode,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In IPSec, an encryption method in which the entire IP packet is encrypted and inserted as the payload in another IP packet. This requires other systems at the beginning and end of the tunnel to act as proxies to send and receive the encrypted packets and then transmit the packets to their ultimate destination.",,,,,,,,,,,,,,,,,,,
334,8,Vernam Cipher,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A cryptographic technique developed at AT&T and known as the “one-time pad,” this cipher uses a set of characters for encryption operations only one time and then discards it.",,,,,,,,,,,,,,,,,,,
335,8,Vigenère Cipher,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An advanced type of substitution cipher that uses a simple polyalphabetic code.,,,,,,,,,,,,,,,,,,,
336,4,Access Control List (ACL),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Access control list (ACL): specifications of authorization that govern the rights and privileges of users to a particular information asset. ACLs include user access lists, matrices, and capabilities tables.",,,,,,,,,,,,,,,,,,,
337,4,Access control matrix,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Access control matrix: an integration of access control lists (focusing on assets) and capability tables (focusing on users) that results in a matrix with organizational assets listed in the column headings and users listed in the row headings.,,,,,,,,,,,,,,,,,,,
338,4,Adverse event,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Adverse event: an event with negative consequences that could threaten the organization’s information assets or operations.,,,,,,,,,,,,,,,,,,,
339,4,After-action review,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",After-action review: a detailed examination of the events that occurred from first detection to final recovery.,,,,,,,,,,,,,,,,,,,
340,4,Alert message,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Alert message: a scripted description of the incident that usually contains just enough information so that each person knows what portion of the IR plan to implement without slowing down the notification process.,,,,,,,,,,,,,,,,,,,
341,4,Alert roster,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Alert roster: a document that contains contact information for people to be notified in the event of an incident.,,,,,,,,,,,,,,,,,,,
342,4,Business Continuity plan (BC plan),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Business continuity plan (BC plan): the documented product of business continuity planning; a plan that shows the organization’s intended efforts if a disaster renders the organization’s primary site are not feasible.,,,,,,,,,,,,,,,,,,,
343,4,Business Continuity Planning (BCP),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Business continuity planning (BCP): The actions taken by senior management to develop and implement the BC policy, plan, and continuity teams.",,,,,,,,,,,,,,,,,,,
344,4,Business Resumption Planning (BRP),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Business resumption planning (BRP): The actions taken by senior management to develop and implement a combined DR and BC policy, plan, and set of recovery teams.",,,,,,,,,,,,,,,,,,,
345,4,Business Impact Analysis (BIA),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Business impact analysis (BIA): An investigation and assessment of the various adverse events that can affect the organization, conducted as a preliminary phase of the contingency planning process, which includes a determination of how critical a system or set of information is to the organization’s core processes and recovery priorities.",,,,,,,,,,,,,,,,,,,
346,4,Capabilities table,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Capabilities table: A lattice-based access control with rows of attributes associated with a particular subject (such as a user).,,,,,,,,,,,,,,,,,,,
347,4,Cold site,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Cold site: A facility that provides only rudimentary services, with no computer hardware or peripherals. Cold sites are used for BC operations.",,,,,,,,,,,,,,,,,,,
348,4,Computer forensics,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Computer forensics: the process of collecting, analyzing, and preserving computer-related evidence.",,,,,,,,,,,,,,,,,,,
349,4,Configuration rules,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Configuration rules: the instructions a system administrator codes into a server, networking device, or security device to specify how it operates.",,,,,,,,,,,,,,,,,,,
350,4,Contingency plan,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Contingency plan: the documented product of contingency planning; a plan that shows the organization’s intended efforts in reaction to adverse events.,,,,,,,,,,,,,,,,,,,
351,4,Contingency Planning (CP),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Contingency planning (CP): The actions taken by senior management to specify the organization’s efforts and actions if an adverse event becomes an incident or disaster. This planning includes incident response, disaster recovery, and business continuity efforts, as well as preparatory business impact analysis.",,,,,,,,,,,,,,,,,,,
352,4,Contingency Planning Management Team (CPMT),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Contingency planning management team (CPMT): The group of senior managers and project members organized to conduct and lead all CP efforts.,,,,,,,,,,,,,,,,,,,
353,4,Corporate governance,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Corporate governance: executive management’s responsibility to provide strategic direction, ensure the accomplishment of objectives, oversee that risks are appropriately managed, and validate responsible resource use.",,,,,,,,,,,,,,,,,,,
354,4,Crisis management,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Crisis management: An organization’s set of planning and preparation efforts for dealing with potential human injury, emotional trauma, or loss of life as a result of a disaster.",,,,,,,,,,,,,,,,,,,
355,4,Database shadowing,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Database shadowing: A backup strategy to store duplicate online transaction data along with duplicate databases at the remote site on a redundant server. This server combines electronic vaulting with remote journaling by writing multiple copies of the database simultaneously to two locations.,,,,,,,,,,,,,,,,,,,
356,4,De facto standard,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",De facto standard: a standard that has been widely adopted or accepted by a public group rather than a formal standards organization.,,,,,,,,,,,,,,,,,,,
357,4,De jure standard,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","De jure standard: a standard that has been formally evaluated, approved, and ratified by a formal standards organization.",,,,,,,,,,,,,,,,,,,
358,4,Defense in Depth,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Defense in depth: a strategy for the protection of information assets that uses multiple layers and different types of controls (managerial, operational, and technical) to provide optimal protection.",,,,,,,,,,,,,,,,,,,
359,4,Disaster,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Disaster: an adverse event that could threaten the viability of the entire organization. A disaster may either escalate from an incident or be initially classified as a disaster.,,,,,,,,,,,,,,,,,,,
360,4,Disaster Recovery plan (DR plan),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Disaster recovery plan (DR plan): the documented product of disaster recovery planning; a plan that shows the organization’s intended efforts in the event of a disaster.,,,,,,,,,,,,,,,,,,,
361,4,Disaster Recovery Planning (DRP),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Disaster recovery planning (DRP): The actions taken by senior management to specify the organization’s efforts in preparation for and recovery from a disaster.,,,,,,,,,,,,,,,,,,,
362,4,Electronic vaulting,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Electronic vaulting: A backup method that uses bulk batch transfer of data to an off-site facility; this transfer is usually conducted via leased lines or secure Internet connections.,,,,,,,,,,,,,,,,,,,
363,4,Enterprise Information Security Policy (EISP),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Enterprise information security policy (EISP): The high-level information security policy that sets the strategic direction, scope, and tone for all of an organization’s security efforts.",,,,,,,,,,,,,,,,,,,
364,4,Evidence,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Evidence: a physical object or documented information that proves an action occurred or identifies the intent of a perpetrator.,,,,,,,,,,,,,,,,,,,
365,4,Goals,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Goals: sometimes used synonymously with objectives; the desired end of a planning cycle.,,,,,,,,,,,,,,,,,,,
366,4,Governance,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Governance: “The set of responsibilities and practices exercised by the board and executive management with the goal of providing strategic direction, ensuring that objectives are achieved, ascertaining that risks are managed appropriately and verifying that the enterprise’s resources are used responsibly.”",,,,,,,,,,,,,,,,,,,
367,4,Guidelines,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Guidelines: Nonmandatory recommendations the employee may use as a reference in complying with a policy. If the policy states to “use strong passwords, frequently changed,” the guidelines might advise that “we recommend you don’t use family or pet names, or parts of your Social Security number, employee number, or phone number in your password.”",,,,,,,,,,,,,,,,,,,
368,4,Hierarchical roster,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Hierarchical roster: an alert roster in which the first person calls a few other people on the roster, who in turn call others. This method typically uses the organizational chart as a structure.",,,,,,,,,,,,,,,,,,,
369,4,Hot site,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Hot site: A fully configured computing facility that includes all services, communications links, and physical plant operations. Hot sites are used for BC operations.",,,,,,,,,,,,,,,,,,,
370,4,Incident,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Incident: an adverse event that could result in loss of an information asset or assets, but does not currently threaten the viability of the entire organization.",,,,,,,,,,,,,,,,,,,
371,4,Incident candidate,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Incident candidate: see adverse event.,,,,,,,,,,,,,,,,,,,
372,4,Incident classification,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Incident classification: the process of examining an incident candidate and determining whether it constitutes an actual incident.,,,,,,,,,,,,,,,,,,,
373,4,Incident damage assessment,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Incident damage assessment: the rapid determination of how seriously a breach of confidentiality, integrity, and availability affected information and information assets during an incident or just following one.",,,,,,,,,,,,,,,,,,,
374,4,Incident Response plan (IR plan),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Incident response plan (IR plan): the documented product of incident response planning; a plan that shows the organization’s intended efforts in the event of an incident.,,,,,,,,,,,,,,,,,,,
375,4,Incident response planning (IRP),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Incident response planning (IRP): the actions taken by senior management to specify the organization’s processes and procedures to anticipate, detect, and mitigate the effects of an incident.",,,,,,,,,,,,,,,,,,,
376,4,Information security blueprint,Blueprint,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Information security blueprint: In information security, a framework or security model customized to an organization, including implementation details.",,,,,,,,,,,,,,,,,,,
377,4,Information security framework,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Information security framework: In information security, a specification of a model to be followed during the design, selection, and initial and ongoing implementation of all subsequent security controls, including information security policies, security education and training programs, and technological controls. Also known as a security model.",,,,,,,,,,,,,,,,,,,
378,4,Information security governance,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Information security governance: the application of the principles of corporate governance to the information security function.,,,,,,,,,,,,,,,,,,,
379,4,Information security model,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Information security model: See information security framework.,,,,,,,,,,,,,,,,,,,
380,4,Information security policy,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Information security policy: a set of rules that protects an organization’s information assets.,,,,,,,,,,,,,,,,,,,
381,4,Issue-Specific Security Policy (ISSP),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Issue-specific security policy (ISSP): An organizational policy that provides detailed, targeted guidance to instruct all members of the organization in the use of a resource, such as one of its processes or technologies.",,,,,,,,,,,,,,,,,,,
382,4,Managerial guidance SysSP,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Managerial guidance SysSP: A systems-specific security policy that expresses management’s intent for the acquisition, implementation, configuration, and management of a particular technology, written from a business perspective.",,,,,,,,,,,,,,,,,,,
383,4,Managerial controls,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Managerial controls: information security safeguards that focus on administrative planning, organizing, leading, and controlling, and that are designed by strategic planners and implemented by the organization’s security administration. These safeguards include governance and risk management.",,,,,,,,,,,,,,,,,,,
384,4,Maximum Tolerable Downtime (MTD),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Maximum tolerable downtime (MTD): The total amount of time the system owner or authorizing official is willing to accept for a mission/business process outage or disruption, including all impact considerations",,,,,,,,,,,,,,,,,,,
385,4,Mutual agreement,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Mutual agreement: a continuity strategy in which two organizations sign a contract to assist the other in a disaster by providing BC facilities, resources, and services until the organization in need can recover from the disaster.",,,,,,,,,,,,,,,,,,,
386,4,Objectives,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Objectives: sometimes used synonymously with goals; the intermediate states obtained to achieve progress toward a goal or goals.,,,,,,,,,,,,,,,,,,,
